City,State,Neighborhood,lat,lng
San Francisco,CA,Mission Terrace,37.726905,-122.43678500000001
San Francisco,CA,Monterey Heights,37.7323209,-122.46158510000001
San Francisco,CA,Mount Davidson Manor,37.7283105,-122.4630004
San Francisco,CA,NoPa,37.77572720000001,-122.44247730000001
San Francisco,CA,Nob Hill,37.793014,-122.416113
San Francisco,CA,Noe Valley,37.750237799999994,-122.43370290000001
San Francisco,CA,North Beach/Telegraph Hill,37.8027064,-122.4058044
San Francisco,CA,Oceanview,37.714182799999996,-122.4566316
San Francisco,CA,Outer Mission,37.71567770000001,-122.44579109999998
San Francisco,CA,Outer Richmond,37.777677000000004,-122.49531
San Francisco,CA,Outer Sunset,37.755445,-122.494069
San Francisco,CA,Pacific Heights,37.7925153,-122.4382307
San Francisco,CA,Parkmerced,37.71829279999999,-122.481024
San Francisco,CA,Parkside,37.7413636,-122.4895379
San Francisco,CA,Portola,37.7297408,-122.4099154
San Francisco,CA,Potrero Hill,37.7604929,-122.400869
San Francisco,CA,Presidio,37.7988737,-122.46619369999999
San Francisco,CA,Presidio Heights,37.7889125,-122.4538009
San Francisco,CA,Russian Hill,37.8010963,-122.4195558
San Francisco,CA,Sea Cliff,37.785940999999994,-122.4907
San Francisco,CA,Sherwood Forest,37.7367669,-122.45875459999999
San Francisco,CA,SoMa,37.7785189,-122.4056395
San Francisco,CA,South Beach,37.7835826,-122.38990659999999
San Francisco,CA,St Francis Wood,37.7377845,-122.46512320000001
San Francisco,CA,Stonestown,37.7282649,-122.4794164
San Francisco,CA,Sunnyside,37.7299104,-122.44428880000001
San Francisco,CA,Tenderloin,37.7846598,-122.4145058
San Francisco,CA,The Haight,37.769220399999995,-122.4481393
San Francisco,CA,Twin Peaks,37.754406599999996,-122.4476845
San Francisco,CA,Union Square,37.787993799999995,-122.4074374
San Francisco,CA,Visitacion Valley,37.717175399999995,-122.40425139999999
San Francisco,CA,West Portal,37.7416783,-122.46795359999999
San Francisco,CA,Western Addition,37.7822112,-122.4341781
San Francisco,CA,Westwood Highlands,37.7332501,-122.4566316
San Francisco,CA,Westwood Park,37.7261005,-122.4566316
Brooklyn,NY,Bath Beach,40.602196,-74.0035709
Brooklyn,NY,Bay Ridge,40.6261638,-74.03294989999998
Brooklyn,NY,Bedford Stuyvesant,40.6849961,-73.9418603
Brooklyn,NY,Bensonhurst,40.6112691,-73.9976946
Brooklyn,NY,Bergen Beach,40.6177053,-73.90364869999998
Brooklyn,NY,Boerum Hill,40.6848689,-73.98447220000001
Brooklyn,NY,Borough Park,40.6323009,-73.9888797
Brooklyn,NY,Brighton Beach,40.5775751,-73.96096340000003
Brooklyn,NY,Brooklyn Heights,40.6960105,-73.9932872
Brooklyn,NY,Brownsville,40.66308,-73.90952790000001
Brooklyn,NY,Bushwick,40.6944282,-73.92128579999998
Brooklyn,NY,Canarsie,40.6402325,-73.90605790000002
